ii	120	2	5	648151,603380,539293,541992,566983,574925,562064,536885,529381,586971,596332,524891,526345,518007,538431,551953,518468,527360,536129,537716,530133,515139,527121,545117,537306,545439,538943,534905,520217,529612,536717,536032,526365,519790,542142,533007,520015,522544,536660,520418,532031,554130,520736,517328,518299,522968,522187,533103
ii	120	2	6	608243,643432,577793,637471,578344,524302,520495,560604,538442,529153,515986,526744,520538,523364,526200,524862,567684,525277,527525,538540,533072,527943,537068,527450,552530,522851,535138,543524,527819,538218,533299,532128,534690,520130,541490,539458,527761,519152,525761,531703,530568,519964,538521,522607,551501,655963,520084,518867,538447,546572,527745,515586,523873,519538
ii	120	2	7	666305,668388,699680,704660,618808,633021,664639,673338,656090,634953,596793,519796,529448,554999,526480,531833,550120,527753,673405,560131,714966,533030,527737,551484,556052,528135,522249,520481,522532,522849,523692,538067,546154,580368,523632,539509,534479,522919,534313,538840,531151,592278,523562,519562,553534,530155,520949,553180,527746,600136,527712,522485,520784,528346,520526,522733,556846,520611,519342
ii	120	2	8	631508,640660,665101,619499,562040,528632,522773,595550,580463,557112,649652,582981,526458,524723,519836,542102,524260,565059,531914,576569,565458,547266,527287,550556,533949,575218,596058,540764,598379,522700,589285,616533,558166,546889,534942,526871,539189,539018,522173,525710,529300,531829,535385,555789,557814,527409,521175,585896,616816
ii	120	2	9	598053,585101,525634,526164,617294,644170,607367,528987,537058,527712,526580,526460,519002,527527,525693,550415,522391,523760,527862,527829,520622,519264,534623,529286,531468,555342,518390,550142,603299,639799,535095,529477,561755,532188,535637,531024,519663,526436,565413,576883,525944,533070,538804,530992,519225,527207,519068,519601,530648,519157,533132,533511
ii	30	4	0	594856,656617,582895,526157,526577,526144,532064,534046,546558,531529,525032,530472,523233,518764,548529,595874,591796,537979,551092,520592,541847,522530,526756,585734,522121,519269,526930,675403,684028,591849,570513,592879,578335,562486,574776,584010,525062,544616,551133,530965,538274,528874
ii	30	4	1	855480,849956,790251,591378,535299,562212,552025,532244,553727,611357,667636,656133,679201,546348,527035,581990,561581,559645,552550,521022,554009,530106,529443,526370,551499,568229,598232,597443,528680,540742,529766,528554,601134,619334,581349,603080,597015,548939,541375,522467,521560,538289,529675,531234,530716,530097,526882,538221,523462,531172,525811,551663,550119,579660
ii	30	4	2	577056,660837,685567,669245,538610,553501,525799,535876,530619,522189,528075,541222,519043,540917,559154,539293,558988,585020,545274,571716,543196,544577,523732,535199,524701,527905,531117,522734,531843,625849,650170,629789,653910,628278,654411,590011,536646,531185,564334,519309,527935,529805,547287,542178,536205,546850,578826,538625,522537,541338,524371,519632,527926,518313,547445,521635,523742
ii	30	4	3	648448,649285,649604,665594,579395,536887,585528,583782,535018,580319,544629,533229,523579,559702,529295,547843,535842,523037,523699,535582,519624,531629,543197,547548,570823,519009,565084,523780,549700,584180,521996,548322,529820,545407,551951,535070,564317,528151,542490,527374,522166,529736,525364,536568,539361,544403,539274,522632,528890,522980,547552,528025,544061,537991,553694,567612,573604,536470,523497
ii	30	4	4	688134,753235,760379,759868,604956,614899,577179,612743,544014,548244,518376,540432,532422,543262,533935,543337,531088,527610,526444,520632,533816,525663,562608,571602,523023,538948,539405,547778,556317,541959,558701,538302,536381,540126,526879,529949,532504,533121,519546,546126,574739,543121,544652,531696,536720,535831,545162,529900,532057,518315,524579,515744,517776,529733,520116,519568
ii	30	4	5	854488,862979,846117,856894,592004,713510,574857,538755,518033,526125,547272,559089,519081,535860,523643,527997,522340,529235,520260,523314,524667,536673,546564,531873,523560,528140,523221,536280,537605,526870,527295,536087,527080,523119,524571,535084,524645,537225,521694,564362,560805,575034,530665,523278,547130,533555,537880,560203,526223,541618,557236,517365
ii	30	4	6	722978,719691,574396,532944,535733,545932,521579,601897,543939,527511,558218,544147,534771,526012,585741,601383,532789,531896,558742,527975,550836,532407,555258,524388,522961,522940,518478,529016,548252,529137,527924,539121,535550,527077,522978,533864,575998,585881,529268,562672,560089,546821,531473,524918,531006,523271,540424,534425,525904,520773,529088,530485,563652,529169
ii	30	4	7	696021,706181,711733,650403,574112,772458,784658,690252,634682,631258,675438,561169,558669,524026,522940,531101,542128,622849,532209,528402,532740,553267,540154,527880,525793,519065,544899,531461,538674,560467,542357,568267,520866,518006,528665,526622,547631,552907,539967,535132,564274,543106,559774,536970,527406,563477,547941,533777,541112,529937,530945,523848,524360,544387,555116
